1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,1995,6.1
2,Jumanji (1995),Adventure|Children|Fantasy,1995,4.7
3,Grumpier Old Men (1995),Comedy|Romance,1995,3.8
4,Waiting to Exhale (1995),Comedy|Drama|Romance,1995,2.7
5,Father of the Bride Part II (1995),Comedy,1995,3
6,Heat (1995),Action|Crime|Thriller,1995,6.7
7,Sabrina (1995),Comedy|Romance,1995,7.9
8,Tom and Huck (1995),Adventure|Children,1995,9.7
9,Sudden Death (1995),Action,1995,9.4
10,GoldenEye (1995),Action|Adventure|Thriller,1995,8.7
11,American President  The (1995),Comedy|Drama|Romance,1995,8.6
12,Dracula: Dead and Loving It (1995),Comedy|Horror,1995,5.2
13,Balto (1995),Adventure|Animation|Children,1995,8.6
14,Nixon (1995),Drama,1995,8.5
15,Cutthroat Island (1995),Action|Adventure|Romance,1995,9.7
16,Casino (1995),Crime|Drama,1995,3.8
17,Sense and Sensibility (1995),Drama|Romance,1995,7.3
18,Four Rooms (1995),Comedy,1995,8.2
19,Ace Ventura: When Nature Calls (1995),Comedy,1995,8.9
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,1995,3.6
21,Get Shorty (1995),Comedy|Crime|Thriller,1995,4.3
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,1995,4.1
23,Assassins (1995),Action|Crime|Thriller,1995,4
24,Powder (1995),Drama|Sci-Fi,1995,3.7
25,Leaving Las Vegas (1995),Drama|Romance,1995,6.3
26,Othello (1995),Drama,1995,5.9
27,Now and Then (1995),Children|Drama,1995,3.5
28,Persuasion (1995),Drama|Romance,1995,8.3
29,City of Lost Children  The (CitГ© des enfants perdus  La) (1995),Adventure|Drama|Fantasy|Mystery|Sci-Fi,1995,5.8
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,1995,6.9
31,Dangerous Minds (1995),Drama,1995,7.1
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,1995,2.6
33,Wings of Courage (1995),Adventure|Romance|IMAX,1995,4.5
34,Babe (1995),Children|Drama,1995,6.5
35,Carrington (1995),Drama|Romance,1995,3.6
36,Dead Man Walking (1995),Crime|Drama,1995,9.7
39,Clueless (1995),Comedy|Romance,1995,9.2
40,Cry  the Beloved Country (1995),Drama,1995,8.2
41,Richard III (1995),Drama|War,1995,5.9
